event_id,store_id,campaign_id,product_code,base_price,promo_type,quantity_sold(before_promo),quantity_sold(after_promo),,,,,,
7f650b,STCBE-2,CAMP_SAN_01,P11,190,50% OFF,34,52,,95,3230,9880,,
a21f91,STBLR-8,CAMP_DIW_01,P03,156,25% OFF,393,322,,117,45981,50232,,101154852.6
78bc80,STVJD-0,CAMP_SAN_01,P07,300,BOGOF,22,85,,150,3300,25500,,347860150
a1503f,STCBE-1,CAMP_DIW_01,P15,3000,500 Cashback,329,1000,,2500,822500,3000000,,
1091cf,STBLR-6,CAMP_DIW_01,P05,55,25% OFF,108,93,,41.25,4455,5115,,101.1548526
8.02E+96,STBLR-4,CAMP_DIW_01,P11,190,50% OFF,91,116,,95,8645,22040,,347.86015
73d86f,STVSK-2,CAMP_SAN_01,P10,50,25% OFF,31,26,,37.5,1162.5,1300,,
fe3560,STHYD-4,CAMP_DIW_01,P13,350,BOGOF,73,245,,175,12775,85750,,
6b2afc,STCBE-4,CAMP_SAN_01,P08,1190,BOGOF,30,79,,595,17850,94010,,
ce5851,STMDU-2,CAMP_SAN_01,P03,200,BOGOF,318,1265,,100,31800,253000,,
dd6685,STMYS-2,CAMP_DIW_01,P06,415,25% OFF,78,70,,311.25,24277.5,29050,,
8f25a6,STHYD-6,CAMP_SAN_01,P15,3000,500 Cashback,126,302,,2500,315000,906000,,
5c3c33,STCHE-6,CAMP_DIW_01,P12,62,50% OFF,154,207,,31,4774,12834,,
d290a1,STBLR-3,CAMP_DIW_01,P04,290,25% OFF,343,270,,217.5,74602.5,78300,,
635862,STVSK-4,CAMP_SAN_01,P02,860,33% OFF,348,480,,576.2,200517.6,412800,,550594
c0ecb5,STCHE-2,CAMP_SAN_01,P07,300,BOGOF,43,167,,150,6450,50100,,
182caa,STCHE-5,CAMP_SAN_01,P06,415,25% OFF,39,33,,311.25,12138.75,13695,,
c4db5b,STTRV-0,CAMP_DIW_01,P01,172,33% OFF,164,236,,115.24,18899.36,40592,,
94f48c,STVSK-1,CAMP_SAN_01,P06,415,25% OFF,22,16,,311.25,6847.5,6640,,
7ef92f,STHYD-5,CAMP_SAN_01,P07,300,BOGOF,55,213,,150,8250,63900,,
0f422c,STBLR-0,CAMP_DIW_01,P14,1020,BOGOF,42,168,,510,21420,171360,,
1e9a06,STCHE-4,CAMP_DIW_01,P13,350,BOGOF,84,338,,175,14700,118300,,
02ebe9,STBLR-8,CAMP_DIW_01,P11,190,50% OFF,66,88,,95,6270,16720,,
260ff2,STMYS-2,CAMP_SAN_01,P01,172,33% OFF,204,291,,115.24,23508.96,50052,,
7fc923,STTRV-0,CAMP_SAN_01,P08,1190,BOGOF,19,74,,595,11305,88060,,
b08c12,STMDU-3,CAMP_DIW_01,P03,156,25% OFF,227,202,,117,26559,31512,,
ca7298,STCBE-2,CAMP_SAN_01,P15,3000,500 Cashback,85,228,,2500,212500,684000,,
bf33ae,STMYS-0,CAMP_DIW_01,P14,1020,BOGOF,59,182,,510,30090,185640,,
35fb5b,STCBE-2,CAMP_DIW_01,P13,350,BOGOF,50,190,,175,8750,66500,,
def6ff,STMDU-0,CAMP_DIW_01,P11,190,50% OFF,70,89,,95,6650,16910,,
2f3e5d,STCHE-2,CAMP_SAN_01,P01,172,33% OFF,333,402,,115.24,38374.92,69144,,
ca3893,STMYS-1,CAMP_SAN_01,P09,90,25% OFF,52,39,,67.5,3510,3510,,
922e6a,STBLR-8,CAMP_SAN_01,P05,55,25% OFF,34,24,,41.25,1402.5,1320,,
4f0587,STMDU-0,CAMP_SAN_01,P08,1190,BOGOF,33,136,,595,19635,161840,,
fa5b45,STVJD-1,CAMP_SAN_01,P08,1190,BOGOF,27,109,,595,16065,129710,,
df45ee,STHYD-3,CAMP_DIW_01,P01,172,33% OFF,309,534,,115.24,35609.16,91848,,
f3ac85,STBLR-5,CAMP_SAN_01,P03,200,BOGOF,348,1350,,100,34800,270000,,
292ca5,STHYD-2,CAMP_DIW_01,P04,290,25% OFF,287,220,,217.5,62422.5,63800,,
620715,STMYS-3,CAMP_SAN_01,P03,200,BOGOF,340,1485,,100,34000,297000,,
7e9777,STVJD-1,CAMP_DIW_01,P08,1190,BOGOF,24,82,,595,14280,97580,,
761785,STBLR-4,CAMP_SAN_01,P14,1020,BOGOF,121,474,,510,61710,483480,,
eb3bea,STVSK-2,CAMP_SAN_01,P15,3000,500 Cashback,109,238,,2500,272500,714000,,
276150,STCBE-3,CAMP_SAN_01,P07,300,BOGOF,33,128,,150,4950,38400,,
3beb46,STMYS-2,CAMP_SAN_01,P13,350,BOGOF,81,208,,175,14175,72800,,
47af00,STVJD-1,CAMP_DIW_01,P03,156,25% OFF,183,150,,117,21411,23400,,
627200,STCBE-4,CAMP_DIW_01,P14,1020,BOGOF,36,111,,510,18360,113220,,
bc8315,STHYD-1,CAMP_DIW_01,P12,62,50% OFF,122,135,,31,3782,8370,,
1f083a,STVJD-0,CAMP_SAN_01,P06,415,25% OFF,16,14,,311.25,4980,5810,,
c1e0b6,STCHE-6,CAMP_SAN_01,P01,172,33% OFF,273,379,,115.24,31460.52,65188,,
f60d93,STCBE-0,CAMP_DIW_01,P05,55,25% OFF,78,75,,41.25,3217.5,4125,,
a10402,STVSK-2,CAMP_SAN_01,P02,860,33% OFF,295,436,,576.2,169979,374960,,
741bef,STMYS-0,CAMP_SAN_01,P13,350,BOGOF,114,287,,175,19950,100450,,
105788,STCHE-0,CAMP_SAN_01,P07,300,BOGOF,58,232,,150,8700,69600,,
a85a9a,STHYD-2,CAMP_SAN_01,P10,50,25% OFF,42,31,,37.5,1575,1550,,
4.47E+06,STVJD-0,CAMP_SAN_01,P04,370,BOGOF,253,1017,,185,46805,376290,,
830e9a,STCHE-1,CAMP_DIW_01,P01,172,33% OFF,325,396,,115.24,37453,68112,,
29524a,STBLR-9,CAMP_SAN_01,P10,50,25% OFF,40,36,,37.5,1500,1800,,
3ce076,STMLR-1,CAMP_DIW_01,P11,190,50% OFF,38,50,,95,3610,9500,,
32fa85,STCHE-3,CAMP_DIW_01,P05,55,25% OFF,106,92,,41.25,4372.5,5060,,
42f304,STCBE-3,CAMP_DIW_01,P06,415,25% OFF,66,57,,311.25,20542.5,23655,,
a929ed,STHYD-5,CAMP_DIW_01,P03,156,25% OFF,358,347,,117,41886,54132,,
6dae49,STBLR-1,CAMP_DIW_01,P05,55,25% OFF,117,114,,41.25,4826.25,6270,,
3b54c7,STHYD-3,CAMP_DIW_01,P04,290,25% OFF,367,297,,217.5,79822.5,86130,,
7d6e2a,STMLR-0,CAMP_DIW_01,P03,156,25% OFF,166,146,,117,19422,22776,,
c8ce63,STMDU-0,CAMP_DIW_01,P15,3000,500 Cashback,369,1221,,2500,922500,3663000,,
bd1314,STMYS-2,CAMP_SAN_01,P05,55,25% OFF,37,30,,41.25,1526.25,1650,,
